Stakeholder Name,Stakeholder Type,SHAED Product(s),Onboarding Status,Contract Executed?,Brought on By (Network Effect),Comments,Last edited time
Atlanta Wrecker,End-User,Order Management,Completed,,Pritchard,,11/5/2024 15:14
Truck Max,End-User,Order Management,Completed,,Pritchard,,11/5/2024 15:14
All American Ford,End-User,Order Management,Completed,,Pritchard,,11/5/2024 15:14
Utilimaster,2nd Stage Manufacturer / Upfitter,Upfit Portal,Completed,,Pritchard,,11/5/2024 15:14
IMT (Iowa Mold Tool),2nd Stage Manufacturer / Upfitter,Upfit Portal,Completed,,Pritchard,,11/5/2024 15:14
Palfinger,2nd Stage Manufacturer / Upfitter,"Order Management, Upfit Portal",Completed,,Pritchard,,4/28/2025 8:04
ER Travel,End-User,Order Management,Completed,,Pritchard,,11/15/2024 15:04
FR Conversions,End-User,Order Management,Completed,,Pritchard,,11/15/2024 15:04
New England Wheels,End-User,Order Management,Completed,,Pritchard,,11/15/2024 15:04
TA Operating,End-User,Order Management,Completed,,Pritchard,,11/19/2024 12:38
Endera,End-User,"SHAED Marketplace, Order Management",Completed,,Pritchard,,11/20/2024 15:26
United Rentals,End-User,Order Management,Completed,,Pritchard,,11/21/2024 14:50
Noovo,End-User,Order Management,Completed,,Pritchard,,12/18/2024 15:14
Fitzgerald Truck Sales,End-User,Order Management,Completed,,Pritchard,,4/10/2025 11:20
Republic Services,End-User,Order Management,Completed,,Pritchard,,3/10/2025 15:58
Beltway,End-User,Order Management,Completed,,Pritchard,,4/10/2025 11:11
WorldWide,End-User,Order Management,Completed,,Pritchard,,4/10/2025 11:11
ETI,End-User,Order Management,Completed,,Pritchard,,4/10/2025 11:11
Grand Design,End-User,Order Management,Completed,,Pritchard,,4/10/2025 11:20
The Braun Corporation,End-User,Order Management,Completed,,Pritchard,,4/10/2025 11:20
Mike Albert,End-User,Order Management,Completed,,Pritchard,,4/10/2025 11:20
Alliant Energy,End-User,Order Management,Completed,,Pritchard,,4/10/2025 11:20
Tipton,End-User,Order Management,Completed,,Pritchard,,5/2/2025 14:16
Ricks Auto Sales,End-User,Order Management,Completed,,Pritchard,,5/2/2025 14:16
South Shore,End-User,Order Management,Completed,,Pritchard,,5/2/2025 14:16
Victory Sweepers,End-User,Order Management,Completed,,Pritchard,,5/2/2025 14:16
Nelson Truck,End-User,Order Management,Completed,,Pritchard,,5/2/2025 14:17
Driverge,2nd Stage Manufacturer / Upfitter,Upfit Portal,Completed,,Pritchard,,9/1/2025 10:26
Asco,End-User,Order Management,Completed,,Pritchard,,9/1/2025 10:33
